,domanda,risposta,embedding_model,llm_model,response_time,retrieval_effectiveness,llm_semantic_effectiveness,llm_syntax_grammar_effectiveness
16,Quali sono gli ingredienti dei biscotti alla cannella?,"mandorle, albumi, zucchero, cannella in polvere, farina, lievito, sale e un pizzico di sale. (Non è chiaro quali siano gli ingredienti)",all-mpnet-base-v2,google/flan-t5-base,5739,1,0,1
17,Come vengono chiamati a Napoli gli struffoli?,"Struffoli napoletani A Napoli i dolci sono una cosa seria, una tradizione secolare fatta di tante specialità. E tra questi, a Natale non possono certo mancare gli struffoli: deliziose palline di pasta (farina, uova, strutto, zucchero, un pizzico di sale e liquore all'anice) fritte in olio e strutto e poi avvolte nel miele caldo. La storia di questo dolce è incerta.",all-mpnet-base-v2,google/flan-t5-base,13593,0,1,1
18,Chi taglia la prima fetta del pandolce genovese?,Il maggiore. (Anonimo) è il nome dato a chi taglia la prima fetta del pandolce genovese.,all-mpnet-base-v2,google/flan-t5-base,5991,1,0,0
19,Da cosa è composto il cavalluccio?,"ricco e nutriente, ma capace anche di conservarsi a lungo per essere trasportato nei lunghi viaggi per mare. Le caratteristiche che avrebbe dovuto avere erano chiare: ricco e nutriente, ma anche incapace di conservarsi a lungo per essere trasportato nei lunghi viaggi per mare.",all-mpnet-base-v2,google/flan-t5-base,6664,0,0,1
20,Com'è nato il panettone milanese?,"un marinaio, una maglietta, una rana e un maiale.' Poi mangia i fichi e ne fa una torta.",all-mpnet-base-v2,google/long-t5-tglobal-base,6701,0,0,1
21,Quanti grammi di zucchero ci sono nel torrone?,"a della garcinia cambogia, che è un integratore biologico che contiene circa un terzo delle calorie dello zucchero. L'altra metà si trova nell'avena e nei semi di lino.",all-mpnet-base-v2,google/long-t5-tglobal-base,6669,0,0,0
22,Quante kcal contiene la pasta di mandorle?,"di un teh giddios freddios del negro.9 , di un teh giddios freddios del negro.",all-mpnet-base-v2,google/long-t5-tglobal-base,8227,0,0,0
23,Da dove arriva la forma del pandoro veronese?,"a) la versione 'stilizzata' dell'e-mail, cioè una lettera indirizzata alla persona che chiede il divorzio, ovvero un avvocato, un giudice, un commercialista, un medico, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo , uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo , uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno psicologo, uno psichiatra, uno",all-mpnet-base-v2,google/long-t5-tglobal-base,36340,0,0,0
24,Da dove deriva il nome del pandoro?,"""Il 'selenai dei figli del re' è la storia di due bambini che vengono relegati nelle loro case dai signori.",all-mpnet-base-v2,google/long-t5-tglobal-base,6184,0,0,0
25,Dammi ingredienti e ricetta del salame di cioccolato,"di un'infarinatura di ""emi"", ""schiuma"" e ""caffè"". Il brulicare del 'cioccolato fondente' è un'osservazione che è stata fatta da qualcuno in passato.",all-mpnet-base-v2,google/long-t5-tglobal-base,7265,0,0,0
26,Quali sono gli ingredienti dei biscotti alla cannella?,"- dei 'così buoni': un orsacchiotto, un maiale e un ippopotamo. (Lo 'Standard': un orsacchiotto, un maiale e un ippopotamo.)",all-mpnet-base-v2,google/long-t5-tglobal-base,7722,0,0,0
27,Come vengono chiamati a Napoli gli struffoli?,un portavoce dell'azienda ha dichiarato: “Siamo una famiglia di aziende che opera nel settore da oltre 100 anni. Siamo un'azienda che opera da oltre 100 anni ed è operativa da oltre 100 anni.,all-mpnet-base-v2,google/long-t5-tglobal-base,8192,0,0,0
28,Chi taglia la prima fetta del pandolce genovese?,"una casa igienizzata, pulita e ben tenuta nella città di Milano. Il 'Semi-Tono' è un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un brulicante di un adolescente di un te",all-mpnet-base-v2,google/long-t5-tglobal-base,44322,0,1,1
29,Da cosa è composto il cavalluccio?,"marinaio dell'epoca, è nato nel 'nord' del mondo. Adesso è un sarto del mondo “fantastico”.",all-mpnet-base-v2,google/long-t5-tglobal-base,5868,0,0,0
30,Com'è nato il panettone milanese?,"Il panettone milanese è nato grazie al garzone di cucina di Ludovico il Moro, che inventò questo pane dolce con burro e canditi.",LaBSE,declare-lab/flan-alpaca-base,5512,1,1,1
31,Quanti grammi di zucchero ci sono nel torrone?,"Ci sono circa 78 grammi di zucchero nelle caramelle. La risposta è 9,8 g, il che significa che ci sono circa 84,4-91,6 mg per porzione (o 344 calorie).",LaBSE,declare-lab/flan-alpaca-base,6227,0,0,1
32,Quante kcal contiene la pasta di mandorle?,"La Pasta di Mandorle contiene 54,6 g di zucchero, 23,4 g di grassi e 9,9 g di proteine. È conosciuta anche come pasta di mandorle perché ha un peso medio che può essere consumato in cinque minuti o meno di una chiacchierata alla volta con il cibo dell'altra persona (ad esempio il marzapane).",LaBSE,declare-lab/flan-alpaca-base,9611,1,1,1
33,Da dove arriva la forma del pandoro veronese?,"La forma del pandoro veronese è opera di un artista, Angelo Dall'Oca Bianca. È stato realizzato da un pittore veneziano e negli ultimi anni è stato utilizzato per creare diversi piatti da dessert come il Pan de Oro (Pandorion), il Natalelin (""pande oro""), il Noualdin (""pantou"").",LaBSE,declare-lab/flan-alpaca-base,10241,1,1,1
34,Da dove deriva il nome del pandoro?,"Il nome Pandoro deriva dal veneziano ""pan de oro"" e richiama forse l'abitudine medievale della Venezia d'élite di impreziosire con foglie dorate il lievitato di forma conica.",LaBSE,declare-lab/flan-alpaca-base,6003,1,1,1
35,Dammi ingredienti e ricetta del salame di cioccolato,"Ingredienti: - 2 cucchiai di burro, 1 cucchiaino di cacao in polvere (o zucchero) - 1/2 tazza di mandorle tritate e 1/4 tazza di origano secco Istruzioni: 1. Scaldare l'olio in forno a 180 °C. 2. In un'altra ciotola unisci tutti gli ingredienti tranne un uovo; 3. Aggiungi il latte fino a quando non sarà completamente combinato con le uova. 4. Versare nella padella preparata a fuoco medio a bassa temperatura. 5. Cuocere secondo le istruzioni sulla confezione. 6. Togliere dalla temperatura preriscaldata prima di servire",LaBSE,declare-lab/flan-alpaca-base,10390,0,0,1
36,Quali sono gli ingredienti dei biscotti alla cannella?,"Gli ingredienti dei biscotti alla cannella sono: - 2 cucchiai di zucchero, 1 cucchiaino di zenzero macinato e 1/4 di tazza di burro. - 1/2 confezione di latte di mandorle o olio di cocco (facoltativo).",LaBSE,declare-lab/flan-alpaca-base,5517,0,1,1
37,Come vengono chiamati a Napoli gli struffoli?,A Napoli gli struffoli si chiamano “diavullilli” (Imps). È stato utilizzato per preparare vari piatti come pizza e pasta.,LaBSE,declare-lab/flan-alpaca-base,6647,1,1,1
38,Chi taglia la prima fetta del pandolce genovese?,"Il maggiore. Per molti è consuetudine conservarne la porzione il 3 febbraio, giorno di San Biagio, per proteggere la gola e tenerla al caldo durante i mesi invernali, quando le temperature sono abbastanza elevate da poter essere utilizzati come dessert alternativo in patria o all'estero.",LaBSE,declare-lab/flan-alpaca-base,8510,1,1,1
39,Da cosa è composto il cavalluccio?,"Il cavalluccio marino è costituito da una varietà di materiali, tra cui guscio e pelle. Ha un peso impressionante che lo rende facile da trasportare in acqua e da utilizzare per attività di pesca o nuoto come le barche a vela.",LaBSE,declare-lab/flan-alpaca-base,6643,0,0,1
40,Com'è nato il panettone milanese?,"Lo sguattero di Ludovico il Moro, che per rimediare ad un dolce bruciato, inventò questo pane dolce con burro, canditi e avanzi di pasta.",LaBSE,google/flan-t5-base,4928,1,1,1
41,Quanti grammi di zucchero ci sono nel torrone?,"91,6 g. (quantità di zuccheri) = 91,6 g per 100 g di caramelle. I dolci non sono tutti uguali ma, generalmente possiamo dire che pesano 5 g ciascuno e apportano circa 18 kcal.",LaBSE,google/flan-t5-base,7986,0,1,1
42,Quante kcal contiene la pasta di mandorle?,"455 kcal. (quantità di proteine, grassi e zuccheri) per un apporto calorico di 455 kcal. (quantità di carboidrati, grassi e proteine)",LaBSE,google/flan-t5-base,5554,1,0,1
43,Da dove arriva la forma del pandoro veronese?,"Angelo Dall'Oca Bianca. La versione moderna del pandoro, così come lo conosciamo oggi, risale al XIX secolo ed è l'evoluzione del nadalin, dolce veronese (con ricetta e forma simile, ma inferiore) che nel 2012 ha ottenuto anche il riconoscimento De .Co.",LaBSE,google/flan-t5-base,9852,1,1,1
44,Da dove deriva il nome del pandoro?,"""pan de oro"" veneziano e richiama forse l'abitudine medievale dell'élite veneziana di impreziosire il lievitato di forma conica con foglie dorate",LaBSE,google/flan-t5-base,5274,1,1,1
45,Dammi ingredienti e ricetta del salame di cioccolato,"fichi, mandorle, cannella e mascarpone. (È un salame di cioccolato) Ingredienti: zucchero, sale, pepe, aglio in polvere, bicarbonato, acqua, latte, uova, estratto di vaniglia, succo di limone, olio d'oliva, burro, crema di formaggio, farina, sale, bicarbonato, lievito, bicarbonato di sodio, sale, sale, paprika, pepe nero macinato, sale, sale, sale kosher",LaBSE,google/flan-t5-base,10205,0,0,0
46,Quali sono gli ingredienti dei biscotti alla cannella?,"cioccolato, mandorle, cannella e mascarpone. (Non è chiaro cosa significhi).",LaBSE,google/flan-t5-base,4447,0,0,1
47,Come vengono chiamati a Napoli gli struffoli?,"""porceddhuzzi"" e ""Marche, Abruzzo, Molise, Basilicata e Calabria."". La tesi locale fa derivare il termine",LaBSE,google/flan-t5-base,6716,0,0,0
48,Chi taglia la prima fetta del pandolce genovese?,"Il maggiore. (Risposta: A). [ap_divider color=”#CCCCCC” style=""""solid] spessore=“1px” larghezza= “100%” mar_top=”20px” mar_bot=”20px”]",LaBSE,google/flan-t5-base,8745,1,0,0
49,Da cosa è composto il cavalluccio?,"un cavalluccio marino è un cavallo. I cavallucci marini sono realizzati con una varietà di materiali, tra cui pelle, pelliccia e plastica.",LaBSE,google/flan-t5-base,5552,0,0,0
50,Com'è nato il panettone milanese?,"un tet del salato, 'l'odio' e 'il nebo'.",LaBSE,google/long-t5-tglobal-base,5334,0,0,0
51,Quanti grammi di zucchero ci sono nel torrone?,"a della garcinia cambogia, che è un integratore biologico che contiene circa un terzo delle calorie dello zucchero. L'altra metà si trova in alimenti come frutta e verdura, latticini, cereali, pane, latte e tè.",LaBSE,google/long-t5-tglobal-base,8740,0,0,0
52,Quante kcal contiene la pasta di mandorle?,di a di gmt di di eliq. 0 d di eliq. 0 d di eliq. 0 d di eliq. 0 d di eliq. 0 d di eliq. 0 d di eliq. 0 d di eliq. 0 d di eliq. 0 c di eliq. 0 d di eliq. 0 b di eliq. 0 d di eliq. 0 h di eliq. 0 d di eliq. 0 se eliq. 0 se eliq. 0 se eliq.,LaBSE,google/long-t5-tglobal-base,24754,0,0,0
53,Da dove arriva la forma del pandoro veronese?,a) lo stordimento del - cioè la constatazione che non è nella posizione di essere considerato un artista.,LaBSE,google/long-t5-tglobal-base,6189,0,0,0
54,Da dove deriva il nome del pandoro?,"""È una buona cosa che abbiamo il diritto di scegliere la persona giusta per farlo.'"" Poi, dice, ""possiamo scegliere quella migliore per te.""",LaBSE,google/long-t5-tglobal-base,6397,0,0,0
55,Dammi ingredienti e ricetta del salame di cioccolato,"un dessert snob, insignificante e assolutamente delizioso.' Il brulicante: se sei un amante del cioccolato, mangialo.",LaBSE,google/long-t5-tglobal-base,6189,0,1,1
56,Quali sono gli ingredienti dei biscotti alla cannella?,sei un fan del cioccolato? Sei un dolce? È un dolce? Ti piace? Sei un fan del cioccolato?,LaBSE,google/long-t5-tglobal-base,4943,0,0,0
57,Come vengono chiamati a Napoli gli struffoli?,"""L'Italia è un peccato che quella cosa abbia attirato così tanta attenzione da parte del pubblico. Non so cosa fare al riguardo.""",LaBSE,google/long-t5-tglobal-base,6554,0,0,0
58,Chi taglia la prima fetta del pandolce genovese?,"“gli shitta del genodismo sono una reliquia del passato”. Poi, “gli shitta del passato sono una reliquia del passato.",LaBSE,google/long-t5-tglobal-base,9607,0,0,0
59,Da cosa è composto il cavalluccio?,"Sei un fan dei ""francesi""? menù? e il 'Casino del Norte'? menù?",LaBSE,google/long-t5-tglobal-base,5308,0,0,0
60,Com'è nato il panettone milanese?,"Il panettone milanese nasce dall'antica usanza italiana di servire in tavola il pane natalizio. È un piatto popolare che è stato utilizzato per secoli e può essere trovato in molti luoghi in giro per l'Italia, tra cui Roma, Firenze, Napoli, Venezia, Parigi, New York, Londra, Chicago, San Francisco, Los Angeles, Tokyo, Shanghai, Pechino, Hong Kong, Singapore, Giappone, Australia, Corea del Sud, Indonesia, Tailandia, Vietnam, Cina, India, Nepal, Sri Lanka, Taiwan, Messico",gtr-t5-base,declare-lab/flan-alpaca-base,11133,0,0,1
61,Quanti grammi di zucchero ci sono nel torrone?,"Nella pasta di mandorle sono presenti circa 78 grammi di zucchero. La risposta è 55, il che significa che ci sono circa 84,4 g per porzione (50-80 mg).",gtr-t5-base,declare-lab/flan-alpaca-base,5756,0,0,1
62,Quante kcal contiene la pasta di mandorle?,"La pasta di mandorle ne contiene complessivamente 479,8 kg (454,4 libbre). L'apporto calorico medio della pasta di mandorle è di 392 kcal, il che significa che ha un consumo giornaliero approssimativo di 556 calorie al giorno e 237 grammi di peso al mese.",gtr-t5-base,declare-lab/flan-alpaca-base,7363,0,0,1
63,Da dove arriva la forma del pandoro veronese?,"Il pandoro veronese è opera di un artista, Angelo Dall'Oca Bianca. Fu creato da Domenico Melegatti nel 1894 e presenta un corpo a forma di stella con sulla superficie stelle a otto punte.",gtr-t5-base,declare-lab/flan-alpaca-base,8460,1,1,1
64,Da dove deriva il nome del pandoro?,"Il nome Pandoro deriva dal veneziano ""pan de oro"" e richiama forse l'abitudine medievale della Venezia d'élite di impreziosire con foglie dorate il lievitato di forma conica.",gtr-t5-base,declare-lab/flan-alpaca-base,7067,1,1,1
65,Dammi ingredienti e ricetta del salame di cioccolato,"Ingredienti: 2 uova, 80 grammi di burro e 100 grammi di zucchero. Le istruzioni per preparare il salame di cioccolato sono le seguenti: 1. Sciogliere il burro in una padella a fuoco medio fino a quando non sarà leggermente dorato; 2. Aggiungi tutti gli ingredienti nella padella con olio o spray da cucina unto su ciascun lato (opzionale). 3. Versare in una pirofila rivestita di carta alluminio e cuocere in forno a 250°C per 35 minuti prima di servire.",gtr-t5-base,declare-lab/flan-alpaca-base,8517,1,1,1
66,Quali sono gli ingredienti dei biscotti alla cannella?,"Gli ingredienti dei biscotti alla cannella sono: 350 grammi, farina di mandorle e zucchero. Le istruzioni per preparare l'impasto includono mescolare insieme tutti e tre i tipi di latticello con un pizzico o due a velocità media fino a quando non sarà omogeneo a proprio piacimento.",gtr-t5-base,declare-lab/flan-alpaca-base,6479,1,0,1
67,Come vengono chiamati a Napoli gli struffoli?,"Struffoli napoletani. È un dolce italiano che si tramanda da generazioni e si trova in Campania, Puglia (dove sono conosciuti come ""porceddhuzzi""), Marche, Abruzzo, Molise, Basilicata e Calabria.",gtr-t5-base,declare-lab/flan-alpaca-base,9720,1,1,1
68,Chi taglia la prima fetta del pandolce genovese?,"Il maggiore. Questo perché è tradizione mangiare il pane il 3 febbraio, e ciò significa che devono essere conservati per San Biagio per proteggere la gola da eventuali malattie o ferite causate da questo evento.",gtr-t5-base,declare-lab/flan-alpaca-base,9175,1,1,1
69,Da cosa è composto il cavalluccio?,"Il cavalluccio marino è composto da una varietà di noci, semi e altri piccoli pezzi. Ha una forma ovale con due gambe, solitamente rotonde o rettangolari, per facilitare il movimento autonomo dei piedi del cavallo senza essere troppo pesanti.",gtr-t5-base,declare-lab/flan-alpaca-base,6651,0,0,0
70,Com'è nato il panettone milanese?,"Un semplice impasto con lievito, burro, uova e farina e una deliziosa copertura di uvetta e canditi hanno reso il panettone milanese una ricetta di successo.",gtr-t5-base,google/flan-t5-base,5961,0,1,1
71,Quanti grammi di zucchero ci sono nel torrone?,"54,6 g di zucchero, 23,4 g di grassi e 9,9 g di proteine. (Risposta: B). La risposta: 54.6",gtr-t5-base,google/flan-t5-base,4731,0,1,1
72,Quante kcal contiene la pasta di mandorle?,"455 kcal. (quantità di proteine, grassi e zuccheri) per un apporto calorico di 459 kcal. (quantità di zuccheri, grassi e proteine)",gtr-t5-base,google/flan-t5-base,5519,1,1,1
73,Da dove arriva la forma del pandoro veronese?,"Angelo Dall'Oca Bianca. La versione moderna del pandoro, così come lo conosciamo oggi, risale al XIX secolo ed è l'evoluzione del nadalin, dolce veronese (con ricetta e forma simile, ma inferiore) che nel 2012 ha ottenuto anche il riconoscimento De .Co.",gtr-t5-base,google/flan-t5-base,9659,1,1,1
74,Da dove deriva il nome del pandoro?,"""pan de oro"" veneziano e richiama forse l'abitudine medievale dell'élite veneziana di impreziosire il lievitato di forma conica con foglie dorate",gtr-t5-base,google/flan-t5-base,6132,1,1,1
75,Dammi ingredienti e ricetta del salame di cioccolato,"2 uova, 80 grammi di burro, 100 grammi di zucchero, 60 grammi di cacao amaro in polvere, 200 grammi di biscotti secchi, Preparazione: Fate sciogliere il burro in una padella e spezzettate i biscotti in pezzi grossolani. Mescolare con cura le uova con lo zucchero.",gtr-t5-base,google/flan-t5-base,6313,1,1,1
76,Quali sono gli ingredienti dei biscotti alla cannella?,"Mandorle grattugiate, albume, zucchero, cannella in polvere, farina, lievito, sale, estratto di vaniglia, noce moscata e cannella. (Non è chiaro quali siano gli ingredienti)",gtr-t5-base,google/flan-t5-base,5852,1,0,1
77,Come vengono chiamati a Napoli gli struffoli?,"""porceddhuzzi"" o ""porceddahuzzi"" in italiano. [ap_divider color=”#CCCCCC” style=""“solido” spessore=”1px” larghezza=”100%” mar_top=”20px” mar_bot=”20px”]",gtr-t5-base,google/flan-t5-base,11906,0,1,1
78,Chi taglia la prima fetta del pandolce genovese?,Il maggiore. (Anonimo) è il nome di chi taglia la prima fetta del pandolce genovese.,gtr-t5-base,google/flan-t5-base,6345,1,0,1
79,Da cosa è composto il cavalluccio?,farina. (La fonte non è chiara) - L'origine è incerta. ['Analogico'] - La fonte è sconosciuta. ['Nocciole'] - La fonte è indeterminata.,gtr-t5-base,google/flan-t5-base,5883,0,0,0
80,Com'è nato il panettone milanese?,una teodiosi del “nulla”. La teodiosi è un termine usato per descrivere un gruppo di persone che non sono in grado di guadagnarsi da vivere senza cibo né acqua.,gtr-t5-base,google/long-t5-tglobal-base,6668,0,0,0
81,Quanti grammi di zucchero ci sono nel torrone?,dei dj della moda della serie tv.9 della serie tv.10 della serie tv.11 della serie tv.12 della serie tv.13 della serie tv.14 della serie tv.15 della serie tv.16 della serie tv.17 della serie tv.18 della serie tv.19 della serie tv.20 della serie tv.21 della serie tv.22 della serie tv.23 della serie tv .24,gtr-t5-base,google/long-t5-tglobal-base,14258,0,0,0
82,Quante kcal contiene la pasta di mandorle?,dei dj della moda della serie tv.9 della serie tv.10 della serie tv.11 della serie tv.12 della serie tv.13 della serie tv.14 della serie tv.15 della serie tv.16 della serie tv.17 della serie tv.18 della serie tv.19 della serie tv.20 della serie tv.21 della serie tv.22 della serie tv.23 della serie tv .24,gtr-t5-base,google/long-t5-tglobal-base,14096,0,0,0
83,Da dove arriva la forma del pandoro veronese?,"a) il ""fai da te"", ""il sexy"", ""divertente"", ""spazzato"", ""rapido"", ""spazzato"", ""spazzato"", ""spazzato"", ""spazzato"", ""spazzato"", 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato ', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato', 'spazzato ', 'spazzatura',",gtr-t5-base,google/long-t5-tglobal-base,50772,0,0,0
84,Da dove deriva il nome del pandoro?,"""È un bene che non possiamo essere relegati all'élite."" Poi, dice, ""non possiamo farci niente.",gtr-t5-base,google/long-t5-tglobal-base,6989,0,1,1
85,Dammi ingredienti e ricetta del salame di cioccolato,"del 'caffè', del 'sapone', del 'latte', del 'diluvio', del 'ghiacciato', del 'minuscolo', del 'medio', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone' ', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone', del 'sapone', di",gtr-t5-base,google/long-t5-tglobal-base,21733,0,0,0
86,Quali sono gli ingredienti dei biscotti alla cannella?,"- sei uno snob, se non lo sei, un idiota.) e un idiota (o un idiota).",gtr-t5-base,google/long-t5-tglobal-base,5945,0,0,0
87,Come vengono chiamati a Napoli gli struffoli?,“È positivo che non siamo in grado di fare nulla del genere. Non siamo in grado di farlo. Poi «non possiamo farcela senza l’aiuto delle persone che fanno parte della nostra comunità.,gtr-t5-base,google/long-t5-tglobal-base,10305,0,0,0
88,Chi taglia la prima fetta del pandolce genovese?,“È un peccato che non possiamo fare nulla al riguardo. Non possiamo farci nulla”. Quindi i burloni uscirono dal ristorante e si sedettero nel parcheggio.,gtr-t5-base,google/long-t5-tglobal-base,11460,0,0,0
